ID,ILLUM,HUMID,CO2,SOUND,TEMP,RYTHM
211,320.38,69.39,565.06,41.61,18.56,83.08664466482307
212,367.05,66.98,465.92,28.93,20.23,77.56417473416234
213,466.24,66.53,466.82,20.63,20.8,77.40843151387455
214,426.86,76.55,616.29,19.7,19.61,83.16956144724936
215,436.68,66.39,424.36,28.67,18.81,74.38067126642511
216,414.93,73.62,517.96,32.82,18.36,79.5904636860784
217,343.02,66.05,464.35,25.1,21.45,78.20095630157175
218,459.88,70.51,489.49,41.08,16.77,78.49862504830833
219,484.72,69.19,486.01,19.88,25.55,83.92817618744408
220,646.06,59.45,524.49,30.94,20.7,84.10501702948399
221,530.31,62.06,467.18,41.45,20.09,81.53891153758127
222,373.3,57.7,446.38,40.37,21.58,80.54328952892374
223,385.11,69.59,531.15,26.15,22.65,82.96710984669686
224,443.84,65.02,492.14,29.6,20.41,80.24167123420754
225,370.16,63.05,458.77,30.69,20.39,77.96338978781769
226,546.99,75.72,506.59,35.77,20.47,82.87855067979868
227,380.07,66.6,519.1,27.08,21.64,81.45600984264456
228,510.21,65.82,489.01,34.67,21.17,82.40010372223627
229,481.11,68.65,470.05,28.52,22.55,81.4874965396124
230,440.4,62.95,414.24,19.05,18.72,72.08041328888467
231,428.76,69.82,479.08,37.53,19.09,79.2544892965592
232,537.59,66.61,462.24,27.22,19.41,77.58934372599276
233,606.0,64.19,475.72,35.37,19.8,80.94192786579367
234,479.8,66.06,452.18,32.45,21.86,80.35093702388382
235,541.99,69.59,524.73,29.07,18.4,80.3823797470372
236,442.35,59.77,417.0,34.76,23.66,81.0116920737548
237,334.37,68.78,512.05,25.04,17.95,76.49329592508671
238,420.81,66.64,499.72,32.45,19.83,79.981483007868
239,424.1,60.58,478.79,48.42,18.63,81.09852460553459
240,536.02,70.5,504.49,26.3,19.06,79.25799443897489
241,504.98,72.54,521.26,36.25,19.13,81.85758703601489
242,331.37,63.05,523.39,29.65,22.22,82.8693388130985
243,230.06,61.0,494.61,24.3,22.64,79.53489905454924
244,390.65,71.36,581.54,22.67,18.64,80.69484935553234
245,449.46,58.87,517.89,35.99,21.86,84.13438995059606
246,553.59,69.28,566.66,28.73,21.53,85.64245991689951
247,270.15,67.16,507.17,21.52,19.83,76.75869339190167
248,353.68,65.49,533.47,27.47,19.79,80.26093127764092
249,408.68,71.99,557.8,29.48,19.36,81.50795923697066
250,559.77,70.85,556.73,27.1,19.5,82.50096233875055
251,434.15,71.86,522.32,25.61,20.33,80.68094299972172
252,314.57,69.58,487.6,39.96,20.69,80.97829599184816
253,377.46,58.64,488.34,28.59,20.59,79.23397281916189
254,556.07,70.83,517.61,31.35,19.95,82.16145264570427
255,584.52,73.81,523.48,24.62,20.79,82.33599565563432
256,410.3,64.98,507.4,14.88,23.6,81.13052127363257
257,433.09,72.3,481.95,27.42,22.24,81.07015591224126
258,406.69,66.25,527.64,32.52,21.55,83.5664946154416
259,344.9,61.41,497.96,38.8,21.32,82.47529589479214
260,460.2,68.13,566.33,28.6,19.93,83.24691803234096
261,393.85,69.37,480.34,14.44,22.69,78.26232898436851
262,448.18,58.29,474.53,30.47,18.06,76.64215786997742
263,434.54,59.5,514.54,39.51,21.01,83.6852550246216
264,457.74,60.48,468.0,29.51,21.77,80.35980864878151
265,596.18,61.0,471.4,43.79,20.78,83.63285703464663
266,414.52,59.37,503.81,41.71,20.0,82.45681898081271
267,442.92,57.36,486.15,35.93,22.41,83.10067245164535
268,526.76,66.93,500.62,36.41,17.14,78.74562039845755
269,407.9,59.55,451.39,33.22,22.65,81.20204961275347
270,287.57,72.2,488.35,31.14,20.13,78.57669564915017
271,541.44,72.38,506.08,26.87,20.12,80.9487627393054
272,487.97,64.67,533.74,31.34,20.45,83.11430798771158
273,454.36,68.51,486.63,24.58,19.84,78.01302653815421
274,470.35,65.62,586.57,40.24,18.41,85.05420049763089
275,405.32,64.54,543.51,21.64,20.24,80.19486243633092
276,370.82,58.18,535.54,36.87,21.24,83.51756566422341
277,293.05,62.32,474.16,26.11,20.56,77.32770676666914
278,468.85,80.2,584.84,15.84,16.4,77.68248402182759
279,563.96,68.56,447.96,38.27,18.72,78.81166694220082
280,503.3,68.35,444.71,30.26,20.45,78.43563847906118
281,381.87,64.38,433.84,22.79,21.17,76.03493347111706
282,399.73,65.52,513.91,33.51,21.67,82.8630676669269
283,510.9,70.51,466.61,31.82,19.52,78.97220805299564
284,362.03,74.21,499.52,22.02,18.01,75.69524145874072
285,406.75,60.96,491.64,35.72,20.66,80.9754664646239
286,460.06,63.75,474.93,32.74,20.63,80.19172935076358
287,406.79,66.88,549.64,20.99,15.23,75.23793380219512
288,515.0,71.55,463.39,29.72,20.39,79.08664499965602
289,554.47,62.33,491.55,32.1,20.8,81.75709356329688
290,349.79,71.3,444.22,43.17,19.79,78.6470117467037
291,416.82,62.54,443.67,38.06,20.54,79.25315354669229
292,513.57,62.9,513.24,38.19,20.99,83.95972094550234
293,307.41,68.2,437.61,34.4,20.43,77.3186035132375
294,412.93,64.04,508.25,23.43,22.25,81.30846154081364
295,546.89,65.98,456.67,34.25,20.63,80.27025990662999
296,346.8,67.1,439.82,22.53,18.92,73.64840407548506
297,505.86,58.58,492.65,28.11,21.8,81.73590607402326
298,393.53,75.43,523.27,36.34,23.33,85.95617177041024
299,236.35,64.69,552.64,25.42,21.23,81.37187860974352
300,449.09,64.73,551.04,25.05,18.94,80.17763295795649
301,418.8,62.1,519.86,30.32,20.82,81.720224809236
302,589.61,64.47,439.54,36.64,19.72,79.56393350371529
303,258.47,62.94,538.89,30.98,20.36,80.91785121859272
304,467.0,66.46,559.27,31.58,19.55,83.10904074927312
305,489.95,68.1,515.87,24.1,21.57,81.70986748420415
306,316.88,69.17,488.31,30.68,22.35,80.97734715219036
307,369.7,77.02,519.5,29.77,21.63,81.87461070645035
308,469.79,60.12,482.82,32.07,21.8,81.76913585793747
309,494.77,70.94,480.85,32.46,21.72,82.1135098402173
310,420.17,73.65,440.93,25.16,17.18,72.77414519746982
311,95.05,70.5,544.69,35.19,21.76,81.96752988583256
312,496.22,70.26,532.63,36.39,18.07,81.47840961414794
313,474.87,64.92,446.38,36.65,21.11,80.02980646218299
314,433.25,70.51,543.55,34.22,19.31,82.04466477284235
315,475.87,75.18,555.13,22.79,20.38,82.23474728469422
316,321.82,67.79,556.93,35.92,18.83,81.55907435125322
317,437.66,58.16,515.19,25.94,21.39,81.35143834815015
318,474.76,62.63,448.13,24.54,17.86,74.37090449233594
319,397.51,72.56,652.55,40.54,17.1,85.99215752915518
320,310.1,66.95,488.29,30.86,20.43,78.94191016744693
321,370.22,61.34,562.73,27.6,21.75,84.0137805933665
322,524.82,75.46,489.42,30.76,20.17,80.76113204598008
323,581.88,68.97,385.11,35.03,19.07,75.82116625595532
324,428.06,76.39,464.54,22.11,22.14,78.76036358094251
325,410.17,67.47,480.86,35.31,18.43,77.87998168665692
326,395.91,63.34,461.53,31.04,20.49,78.24112287887152
327,482.81,63.63,534.15,36.74,20.23,83.44241908282697
328,322.37,65.59,452.43,37.82,18.16,76.25983271469796
329,450.65,74.23,555.7,30.86,17.79,80.77283015840597
330,403.55,64.98,457.0,36.39,15.64,74.13077074596156
331,324.58,64.4,489.1,29.01,18.04,76.20465431228556
332,379.16,56.39,520.41,43.48,20.17,83.21497182990629
333,318.21,61.23,505.08,23.58,20.43,78.38243749270138
334,642.67,66.7,498.99,29.42,22.93,84.85806221159505
335,433.13,60.54,541.59,32.84,20.72,83.35277369092194
336,355.45,62.17,546.76,29.01,19.92,81.28032030931637
337,506.96,59.45,436.15,44.72,21.68,82.26097136274272
338,418.36,58.45,485.78,25.31,23.6,82.12594996092871
339,590.26,64.53,503.99,48.82,20.79,86.10386696634833
340,307.56,63.46,526.1,45.23,18.43,81.21168575691453
341,465.52,73.38,437.49,30.21,19.98,77.00626128988108
342,432.21,74.73,525.83,19.77,22.35,81.82379672195208
343,562.84,60.83,443.92,32.99,21.0,80.02866189988733
344,494.91,60.73,431.2,24.33,21.18,77.44524105322455
345,532.07,63.18,476.06,28.33,20.34,79.77545165019096
346,426.22,60.09,499.07,30.71,20.49,80.67714790819822
347,452.8,66.03,533.47,27.58,19.0,79.96358886320114
348,403.18,64.44,455.99,32.71,17.68,75.477637360999
349,340.97,61.29,457.55,31.72,21.9,79.65443733473475
350,528.42,75.49,533.11,30.94,16.58,78.63138127070258
351,491.85,65.53,431.84,26.6,22.02,78.58329864878827
352,448.38,63.41,437.13,39.02,21.61,80.77113593528225
353,494.36,56.54,500.79,33.22,18.06,79.16185728174062
354,392.54,66.17,494.35,27.44,21.69,80.58668976282918
355,430.17,67.99,572.52,26.32,21.22,84.27064782438819
356,480.51,61.09,527.99,16.82,19.76,78.8364964393888
357,416.46,72.67,566.17,25.57,19.07,81.22208484013153
358,382.9,64.17,471.22,30.33,19.04,77.0968941445137
359,329.83,59.27,476.0,33.03,18.42,76.68325883457679
360,329.67,69.36,524.0,25.93,18.57,78.0515167922402
361,520.1,65.09,466.78,31.17,22.18,81.78296227282895
362,336.29,75.93,498.95,37.92,19.92,80.62509830739818
363,298.51,65.6,506.85,18.93,21.33,78.22624569687238
364,552.24,61.75,429.71,25.31,22.14,78.81568078722867
365,608.0,69.23,412.09,27.04,19.36,75.95542818251208
366,565.83,74.6,471.81,23.99,16.95,75.2837162768452
367,416.33,63.91,529.51,27.86,19.87,80.46167802652324
368,414.18,71.9,533.35,32.34,20.72,82.89263056412477
369,507.57,64.54,510.68,30.15,18.55,79.7616367034158
370,454.25,69.63,484.57,27.65,18.83,77.79867026409549
371,420.08,67.17,569.23,30.59,17.7,80.7081498976229
372,435.76,70.59,462.48,14.51,18.87,73.78984395653985
373,427.41,59.39,492.56,42.71,18.48,80.25942073288965
374,458.83,65.17,475.88,34.03,17.78,77.00201475818768
375,528.04,66.94,466.43,24.43,22.27,80.42315855973725
376,268.61,68.05,493.37,22.66,20.46,77.25393120133782
377,494.19,74.83,462.08,36.64,20.71,80.94352730097076
378,517.06,61.62,499.56,30.49,21.48,82.40915476556007
379,391.31,71.72,480.77,24.79,18.39,75.8006207986408
380,494.38,70.29,443.03,26.54,20.02,76.80352367775839
381,404.73,70.39,486.97,22.93,19.85,77.42457561064502
382,410.85,67.63,558.82,32.5,14.96,77.41877129328564
383,364.22,66.13,562.83,28.09,18.98,81.04548383625745
384,447.95,73.26,462.81,27.88,19.12,76.60791010728035
385,505.98,66.91,454.61,34.35,21.7,81.25911408319304
386,330.27,67.88,432.49,19.48,18.37,71.43957605606049
387,479.19,68.32,413.28,34.93,19.13,75.89211392770828
388,532.95,72.25,480.65,19.73,21.04,78.88322948171401
389,316.49,70.16,483.13,35.01,17.5,76.34358311000307
390,469.57,75.84,542.75,29.47,18.92,81.2549697545971
391,741.84,67.76,446.12,28.2,16.27,75.63317872880188
392,390.23,70.23,497.86,35.61,20.4,81.0583274271693
393,426.37,64.91,492.65,23.22,20.91,79.32378733144331
394,454.12,58.25,431.13,42.05,20.55,79.83813537950543
395,203.14,61.21,498.55,29.56,21.53,79.62729166497853
396,384.44,68.52,538.6,25.84,20.43,81.19419029250311
397,409.37,57.33,520.93,31.43,23.56,85.19793199056889
398,481.15,59.99,457.59,30.32,23.32,82.10641248942719
399,428.72,67.2,510.11,41.88,17.76,80.24526290241553
400,292.28,65.71,553.17,44.82,18.88,83.14150767230626
401,395.26,68.67,570.49,30.0,19.91,82.80963953961303
402,459.82,59.56,507.04,28.09,18.62,78.76313765088453
403,557.76,70.36,437.08,22.03,18.92,74.9605564871581
404,415.45,63.55,498.69,35.66,18.39,79.16459757680575
405,469.26,62.85,483.0,29.33,23.46,83.3175313765106
406,584.2,57.79,474.05,32.05,21.14,81.54835413419627
407,400.09,73.32,506.2,35.08,17.53,78.19340362376617
408,418.56,57.89,489.29,26.67,22.93,81.8335565179377
409,458.33,65.9,522.88,23.15,23.82,84.34268019990697
410,263.51,70.25,470.52,26.14,19.62,76.0429604878124
411,387.12,62.15,529.71,35.33,18.97,81.09649564191704
412,429.9,64.16,471.81,27.98,22.38,80.98845414409007
413,485.29,61.35,425.84,41.3,19.12,78.0449530805279
414,325.1,72.26,477.03,21.87,18.62,74.62807949727595
415,497.27,69.54,482.41,22.6,20.78,79.20983165473505
416,333.18,74.4,592.07,33.03,19.99,84.15788067451669
417,461.66,67.35,448.67,28.78,19.98,77.29667609768227
418,510.32,65.63,481.27,30.6,19.34,78.85700962550828
419,374.1,66.93,559.07,27.91,19.07,81.02593503434386
420,306.29,78.42,505.82,27.04,20.83,79.20686736387123
421,493.73,67.91,520.21,32.12,21.53,83.58555599144816
422,284.03,73.11,510.01,22.42,22.13,80.23085445655076
423,443.08,63.09,425.4,42.13,19.31,78.24133760942715
424,330.09,65.08,540.57,23.11,20.56,80.44343525710092
425,409.61,61.32,517.2,28.91,20.92,81.33057872339953
426,353.19,67.47,492.75,23.03,21.85,79.67962218615324
427,354.52,69.43,525.45,27.06,20.44,80.13157588081394
428,358.65,69.87,456.79,34.54,20.58,78.85505244625618
429,448.91,59.06,494.91,36.2,19.79,80.89685507150891
430,556.38,67.67,505.58,31.46,21.69,83.37256063565302
431,393.15,79.34,524.46,24.26,18.49,77.71754680978114
432,383.81,69.79,536.12,28.87,18.94,79.86751157679436
433,333.18,67.19,455.99,24.44,19.5,75.01801801727663
434,523.61,72.49,457.0,17.54,20.04,76.0384942678293
435,538.14,68.93,517.35,31.1,21.45,83.72914126686007
436,467.53,67.4,518.1,31.17,20.73,82.21898454104446
437,413.9,66.99,459.17,37.49,18.5,77.8198091170408
438,471.18,61.91,474.56,38.21,20.92,81.48893047225901
439,387.67,57.6,504.14,32.28,23.46,84.31338624462853
440,508.92,71.72,450.16,28.76,22.54,80.59604106007913
441,375.08,70.47,541.09,28.7,22.64,84.29142930078918
442,279.56,60.16,498.96,27.71,21.76,79.93934588143887
443,644.33,69.11,493.47,23.08,19.56,79.69688961483182
444,348.68,54.74,505.62,26.22,20.58,79.57770970661656
445,471.51,64.38,457.5,36.12,22.56,82.3357400036114
446,318.17,67.54,481.72,26.96,20.91,78.49580073151027
447,502.92,66.86,503.88,28.45,18.2,78.16798078949442
448,344.73,69.33,582.97,25.66,20.71,83.14236540133028
449,512.38,64.85,550.13,28.24,20.16,82.8627808165696
450,396.79,69.0,537.58,28.73,17.9,78.65503813447812
451,304.98,65.86,504.93,37.61,19.34,79.74542094051176
452,519.14,75.88,508.54,38.76,18.17,80.71566132103598
453,552.48,61.77,472.53,37.27,19.99,81.20341809288843
454,294.6,64.7,465.8,26.83,21.87,78.51492495400088
455,458.81,65.05,468.79,30.32,19.92,78.84890390308225
456,442.59,64.02,473.26,34.16,20.23,79.94977311464662
457,389.2,66.37,467.75,36.57,22.49,82.26461383267963
458,492.9,64.18,503.19,30.89,20.42,81.54635956029176
459,463.58,68.0,557.1,36.5,17.01,80.912277160995
460,505.58,64.75,532.24,33.8,18.59,81.3575985283718
461,460.39,63.06,472.57,30.22,19.99,78.89990605769553
462,317.47,72.69,533.85,19.6,20.48,79.167691322052
463,518.51,63.58,488.63,38.7,18.89,80.49456020822132
